사업부,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
DISCOVERY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69073.41,780459.28,1546377.8,3118746.2899999996
KIDS,57077820.57000001,51154017.620000005,36890477.11,35981373.015,40022046.6588,28397443.38,23678181.810000002,30921048.410000004,29975511.224699996,44306462.0069,34970476.5743,41456925.37170001
MLB,772451097.3652,808067818.6552,658022300.6212,658492589.2074001,679145565.7958,578677595.9377,512070185.31640005,557970224.605,561753471.6416,846299199.3363999,815823193.1391001,850756492.1676
합계,829528917.9352001,859221836.2752,694912777.7312,694473962.2224001,719167612.4546,607075039.3177,535748367.12640005,588891273.015,591798056.2763,891386120.6233,852340047.5134001,895332163.8293
