사업부,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
DISCOVERY,2490966.63,2177010.76,1977043.77,2134276.53,2982528.77,2787183.05,2983712.39,7020646.37,5366055.14,9356392.21,6689754.21,9299192.58
KIDS,66666619.3152,20261690.58,33160912.01,31705344.6,35209596.58,22775718.16,22543070.97,31192768.0076,25908763.14,44511860.19,32696514.749,34397480.8
MLB,1103378232.5945,534169507.2194,663832548.8143,649877778.5584,719632959.359,552104329.3859,521452172.0988,588425184.2857,551628566.7355,894867988.2102,804211754.5688,792602125.738
합계,1172535818.5397,556608208.5594,698970504.5942999,683717399.6884,757825084.709,577667230.5959,546978955.4588,626638598.6632999,582903385.0155,948736240.6101999,843598023.5278,836298799.118
