사업부,사업부(소분류),1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
MLB,경영지원,72,71,70,68,67,66,,,,,,
MLB,MLB,129,128,127,127,126,123,,,,,,
KIDS,KIDS,24,24,24,25,25,25,,,,,,
DISCOVERY,DISCOVERY,30,30,31,31,28,28,,,,,,
합계,,255,253,252,251,246,242,,,,,,
