사업부,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
DISCOVERY,8914239.49,6145486.7,4443033.91,3818025.28,4874849.5,3260953.45,3699625.02,938986.12,,,,
KIDS,45637210.72,44490837.996,25337665.8291,28835572.81,31896800.08,23859257.69,18906896.88,7245913.392,,,,
MLB,901909063.7677,1028934847.1873,645885655.8206,658195535.5148,724367949.0756,533195186.73,487805689.8467,182330673.44,,,,
합계,956460513.9777,1079571171.8833,675666355.5597,690849133.6048,761139598.6556001,560315397.87,510412211.7467,190515572.952,,,,
